tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
358.00;end_private_0;1000.00;14.08;0.00;0.00;start_private_0;5.10;0.00;tripinfo_car0;358.00;car0;0;4995.30;1.06;0.00;18.40;car;;0;0.00
401.00;end_public_0;1000.00;11.92;0.00;0.00;start_public_0;20.10;0.00;tripinfo_bus0;401.00;bus0;0;4980.30;0.95;0.00;21.88;bus;;0;0.00
410.00;end_private_0;1000.00;12.30;3.00;3.00;start_private_0;5.10;0.00;tripinfo_car1;407.00;car1;0;4995.30;0.94;0.00;23.15;car;;0;0.00
412.00;end_private_0;1000.00;13.79;6.00;6.00;start_private_0;5.10;0.00;tripinfo_car2;406.00;car2;0;4995.30;1.01;0.00;49.22;car;;0;0.00
413.00;end_private_0;1000.00;14.06;9.00;9.00;start_private_0;5.10;0.00;tripinfo_car3;404.00;car3;0;4995.30;1.08;0.00;71.65;car;;0;0.00
415.00;end_private_0;1000.00;13.30;12.00;12.00;start_private_0;5.10;0.00;tripinfo_car4;403.00;car4;0;4995.30;1.03;0.00;53.55;car;;0;0.00
441.00;end_public_0;1000.00;11.64;5.00;5.00;start_public_0;20.10;0.00;tripinfo_bus1;436.00;bus1;0;4980.30;0.87;0.00;26.03;bus;;0;0.00
444.00;end_public_0;1000.00;13.12;10.00;10.00;start_public_0;20.10;0.00;tripinfo_bus2;434.00;bus2;0;4980.30;1.04;0.00;87.21;bus;;0;0.00
447.00;end_public_0;1000.00;14.35;15.00;15.00;start_public_0;20.10;0.00;tripinfo_bus3;432.00;bus3;0;4980.30;1.11;0.00;107.94;bus;;0;0.00
450.00;end_public_0;1000.00;14.54;20.00;20.00;start_public_0;20.10;0.00;tripinfo_bus4;430.00;bus4;0;4980.30;1.07;0.00;93.21;bus;;0;0.00
453.00;end_public_0;1000.00;13.70;25.00;25.00;start_public_0;20.10;0.00;tripinfo_bus5;428.00;bus5;0;4980.30;1.02;0.00;76.28;bus;;0;0.00
456.00;end_public_0;1000.00;13.74;30.00;30.00;start_public_0;20.10;0.00;tripinfo_bus6;426.00;bus6;0;4980.30;1.00;0.00;67.71;bus;;0;0.00
459.00;end_public_0;1000.00;12.20;35.00;35.00;start_public_0;20.10;0.00;tripinfo_bus7;424.00;bus7;0;4980.30;0.97;0.00;54.18;bus;;0;0.00
462.00;end_public_0;1000.00;12.92;40.00;40.00;start_public_0;20.10;0.00;tripinfo_bus8;422.00;bus8;0;4980.30;0.96;0.00;48.62;bus;;0;0.00
465.00;end_public_0;1000.00;12.67;45.00;45.00;start_public_0;20.10;0.00;tripinfo_bus9;420.00;bus9;0;4980.30;0.98;0.00;55.00;bus;;0;0.00
467.00;end_public_0;1000.00;15.09;50.00;50.00;start_public_0;20.10;0.00;tripinfo_bus10;417.00;bus10;0;4980.30;1.10;0.00;92.18;bus;;0;0.00
470.00;end_public_0;1000.00;13.36;55.00;55.00;start_public_0;20.10;0.00;tripinfo_bus11;415.00;bus11;0;4980.30;1.04;0.00;68.83;bus;;0;0.00
473.00;end_public_0;1000.00;13.61;60.00;60.00;start_public_0;20.10;0.00;tripinfo_bus12;413.00;bus12;0;4980.30;1.00;0.00;55.06;bus;;0;0.00
476.00;end_public_0;1000.00;14.03;65.00;65.00;start_public_0;20.10;0.00;tripinfo_bus13;411.00;bus13;0;4980.30;1.10;0.00;84.87;bus;;0;0.00
477.00;end_private_0;1000.00;10.65;15.00;15.00;start_private_0;5.10;0.00;tripinfo_car5;462.00;car5;0;4995.30;0.83;0.00;28.54;car;;0;0.00
478.00;end_private_0;1000.00;13.83;18.00;18.00;start_private_0;5.10;0.00;tripinfo_car6;460.00;car6;0;4995.30;1.05;0.00;115.94;car;;0;0.00
480.00;end_private_0;1000.00;11.57;21.00;21.00;start_private_0;5.10;0.00;tripinfo_car7;459.00;car7;0;4995.30;0.89;0.00;52.89;car;;0;0.00
482.00;end_private_0;1000.00;12.31;24.00;24.00;start_private_0;5.10;0.00;tripinfo_car8;458.00;car8;0;4995.30;0.94;0.00;74.03;car;;0;0.00
484.00;end_private_0;1000.00;11.20;27.00;27.00;start_private_0;5.10;0.00;tripinfo_car9;457.00;car9;0;4995.30;0.86;0.00;37.00;car;;0;0.00
486.00;end_private_0;1000.00;14.55;30.00;30.00;start_private_0;5.10;0.00;tripinfo_car10;456.00;car10;0;4995.30;1.09;0.00;125.63;car;;0;0.00
