day,vehicle_name,name,type,emissions,fuel_consumption,travel_time,utility
0,bus_0,person_0,bus,1026052.1034283033,441.0660033098446,680.0,515538.3234355864
0,car_0,person_1,car,770143.8835885798,331.05189964513977,358.0,385788.10732023977
0,car_1,person_2,car,775878.3947217866,333.5184519872966,407.0,388753.3641201193
0,bus_0,person_3,bus,1026052.1034283033,441.0660033098446,680.0,515251.7747755242
0,bus_0,person_4,bus,1026052.1034283033,441.0660033098446,680.0,516294.9760683617
0,bus_0,person_5,bus,1026052.1034283033,441.0660033098446,680.0,514828.7843547224
0,car_2,person_6,car,960054.460781011,412.686220984704,406.0,480839.436733616
0,bus_0,person_7,bus,1026052.1034283033,441.0660033098446,680.0,515573.8579885485
0,bus_0,person_8,bus,1026052.1034283033,441.0660033098446,680.0,516929.62847256823
0,car_3,person_9,car,1019951.2858230119,438.4326852169601,404.0,510783.86212784855
0,car_4,person_10,car,1104649.0589578769,474.839809437095,403.0,553130.7668988431
0,car_5,person_11,car,833478.9470503839,358.27966151154766,460.0,417659.6526650227
0,bus_0,person_12,bus,1026052.1034283033,441.0660033098446,680.0,514386.7183808183
0,car_6,person_13,car,966733.4454357435,415.5584802704083,459.0,484284.9304971119
0,car_7,person_14,car,1028569.5296277856,442.13854794249335,458.0,515200.9858831667
0,car_8,person_15,car,1133454.5005665252,487.2229762307904,457.0,567641.4938947507
0,bus_0,person_16,bus,1026052.1034283033,441.0660033098446,680.0,516735.6608539436
0,car_9,person_17,car,940485.7049620311,404.27601203156667,456.0,471155.05461902154
0,bus_0,person_18,bus,1026052.1034283033,441.0660033098446,680.0,514899.94334520696
0,car_10,person_19,car,1086903.674385099,467.21323970143,454.0,544360.0707991694
0,bus_0,person_20,bus,1026052.1034283033,441.0660033098446,680.0,516244.90741595055
0,car_11,person_21,car,1224974.041556026,526.5627815575933,453.0,613393.2840594038
0,car_12,person_22,car,1265848.3777396886,544.1323596418388,452.0,633828.4609360241
0,car_13,person_23,car,1297608.2795498949,557.7843375824478,450.0,649704.4186671162
0,bus_0,person_24,bus,1026052.1034283033,441.0660033098446,680.0,515798.7901852116
0,bus_0,person_25,bus,1026052.1034283033,441.0660033098446,680.0,515714.6065115977
0,car_14,person_26,car,1265454.2099474766,543.9627718869114,449.0,633625.3769551242
0,car_15,person_27,car,1147052.6206261374,493.06777101013245,448.0,574422.5568469542
0,bus_0,person_28,bus,1026052.1034283033,441.0660033098446,680.0,514974.8235165939
0,car_16,person_29,car,951745.3040376059,409.1157528606073,447.0,476766.8565766794
0,car_17,person_30,car,1086869.1297927315,467.1982514363298,445.0,544324.7984954915
0,car_18,person_31,car,1112372.6844845917,478.16113881743115,444.0,557074.5813228652
0,car_19,person_32,car,1217547.0407834887,523.3700547838135,443.0,609659.7820767717
0,bus_0,person_33,bus,1026052.1034283033,441.0660033098446,680.0,515120.03092438594
0,car_20,person_34,car,1279546.2361675838,550.0204677738153,442.0,640657.3930940258
0,car_21,person_35,car,1279352.2081267016,549.9366199715719,440.0,640556.3790316609
0,car_22,person_36,car,1223633.5231366674,525.9861483743484,439.0,612695.0245614079
0,car_23,person_37,car,926432.0607431388,398.23462719704656,438.0,464092.229488883
0,car_24,person_38,car,814537.747027914,350.13784309605,464.0,408197.04858287855
0,car_25,person_39,car,981403.898028995,421.86451882774367,462.0,491626.1599467569
0,bus_0,person_40,bus,1026052.1034283033,441.0660033098446,680.0,515352.2810878158
0,car_26,person_41,car,1098335.4661481187,472.12749811504943,461.0,550089.9691378084
0,car_27,person_42,car,1138658.622198898,489.4599850022724,460.0,570249.5558294415
0,bus_0,person_43,bus,1026052.1034283033,441.0660033098446,680.0,515722.7986480458
0,car_28,person_44,car,1230124.408044179,528.7766005443693,458.0,615978.4684103897
0,car_29,person_45,car,1230237.865264666,528.8251650113333,456.0,616031.1970449155
0,car_30,person_46,car,1318769.1190662435,566.8801816643886,455.0,660294.8429732126
0,bus_0,person_47,bus,1026052.1034283033,441.0660033098446,680.0,515420.2136835828
0,bus_0,person_48,bus,1026052.1034283033,441.0660033098446,680.0,514991.27457213576
0,car_31,person_49,car,1373603.1266053019,590.4507408373086,453.0,687707.8585280214
0,bus_0,person_50,bus,1026052.1034283033,441.0660033098446,680.0,515425.01511359634
0,bus_0,person_51,bus,1026052.1034283033,441.0660033098446,680.0,514517.1191025237
0,bus_0,person_52,bus,1026052.1034283033,441.0660033098446,680.0,515844.53441875894
0,bus_0,person_53,bus,1026052.1034283033,441.0660033098446,680.0,515649.8289919821
0,bus_0,person_54,bus,1026052.1034283033,441.0660033098446,680.0,514542.9367672523
0,car_32,person_55,car,1334288.6546602908,573.5515329482708,452.0,668048.6141059119
0,bus_0,person_56,bus,1026052.1034283033,441.0660033098446,680.0,515092.8029270285
0,car_33,person_57,car,1411335.2829553226,606.6701845963972,451.0,706569.9448127536
0,car_34,person_58,car,1380807.3320627997,593.547593129814,450.0,691303.9628051964
0,car_35,person_59,car,1362767.363080952,585.793065057082,449.0,682281.9744370086
0,car_36,person_60,car,1373056.3423698228,590.2162435740275,448.0,687424.4662930332
